"country","arrival_date_year","arrival_date_month","num_reserves","adr_promig","nits_total","percent_cancel","month_number","periode"
"DEU",2016,"January",15,45.16,6.2,0,1,"2016-01"
"ESP",2016,"January",81,53.3353086419753,2.22222222222222,0,1,"2016-01"
"FRA",2016,"January",26,56.3142307692308,3.73076923076923,0,1,"2016-01"
"GBR",2016,"January",69,43.864347826087,5.85507246376812,0,1,"2016-01"
"IRL",2016,"January",24,40.9183333333333,4.625,0,1,"2016-01"
"PRT",2016,"January",490,48.1900816326531,2.23061224489796,23.8775510204082,1,"2016-01"
"DEU",2016,"February",23,51.2517391304348,4.08695652173913,0,2,"2016-02"
"ESP",2016,"February",181,61.8159668508287,2.20994475138122,1.65745856353591,2,"2016-02"
"FRA",2016,"February",47,58.5965957446809,5.63829787234043,0,2,"2016-02"
"GBR",2016,"February",143,48.6532867132867,5.28671328671329,0.699300699300699,2,"2016-02"
"IRL",2016,"February",28,43.4996428571429,5.85714285714286,0,2,"2016-02"
"PRT",2016,"February",949,56.6887881981033,2.46048472075869,42.2550052687039,2,"2016-02"
"DEU",2016,"March",53,57.7041509433962,4.07547169811321,1.88679245283019,3,"2016-03"
"ESP",2016,"March",265,67.5562264150943,3.22264150943396,2.64150943396226,3,"2016-03"
"FRA",2016,"March",28,56.6307142857143,3.89285714285714,3.57142857142857,3,"2016-03"
"GBR",2016,"March",225,56.4141777777778,4.71555555555556,3.11111111111111,3,"2016-03"
"IRL",2016,"March",31,53.4877419354839,5.25806451612903,0,3,"2016-03"
"PRT",2016,"March",932,57.0392274678112,3.18240343347639,37.1244635193133,3,"2016-03"
"DEU",2016,"April",172,69.1384302325581,2.44186046511628,0.581395348837209,4,"2016-04"
"ESP",2016,"April",131,80.3604580152672,2.58015267175573,17.5572519083969,4,"2016-04"
"FRA",2016,"April",65,83.1858461538462,3.70769230769231,3.07692307692308,4,"2016-04"
"GBR",2016,"April",266,65.2441729323308,5.95864661654135,12.0300751879699,4,"2016-04"
"IRL",2016,"April",102,58.6720588235294,6.02941176470588,5.88235294117647,4,"2016-04"
"PRT",2016,"April",881,70.4306469920545,3.37797956867196,50.3972758229285,4,"2016-04"
"DEU",2016,"May",149,77.4018791946309,3.10738255033557,0.671140939597315,5,"2016-05"
"ESP",2016,"May",66,97.5522727272727,2.68181818181818,18.1818181818182,5,"2016-05"
"FRA",2016,"May",79,86.2449367088608,2.74683544303797,3.79746835443038,5,"2016-05"
"GBR",2016,"May",390,66.892641025641,5.52051282051282,2.30769230769231,5,"2016-05"
"IRL",2016,"May",147,68.2421768707483,6.93877551020408,3.40136054421769,5,"2016-05"
"PRT",2016,"May",713,70.3207994389902,3.28471248246844,58.90603085554,5,"2016-05"
"DEU",2016,"June",36,92.4588888888889,5.63888888888889,5.55555555555556,6,"2016-06"
"ESP",2016,"June",62,138.829032258065,2.91935483870968,30.6451612903226,6,"2016-06"
"FRA",2016,"June",27,129.220740740741,3.77777777777778,0,6,"2016-06"
"GBR",2016,"June",340,84.5370882352941,8.27647058823529,2.35294117647059,6,"2016-06"
"IRL",2016,"June",103,94.9006796116505,6.88349514563107,5.8252427184466,6,"2016-06"
"PRT",2016,"June",517,106.201121856867,4.67311411992263,59.7678916827853,6,"2016-06"
"DEU",2016,"July",24,166.746666666667,6.08333333333333,16.6666666666667,7,"2016-07"
"ESP",2016,"July",165,188.319757575758,4.10909090909091,35.7575757575758,7,"2016-07"
"FRA",2016,"July",33,173.733939393939,4.18181818181818,24.2424242424242,7,"2016-07"
"GBR",2016,"July",192,130.913333333333,7.72916666666667,8.33333333333333,7,"2016-07"
"IRL",2016,"July",68,152.875588235294,7.26470588235294,8.82352941176471,7,"2016-07"
"PRT",2016,"July",598,154.76602006689,5.39130434782609,50.1672240802676,7,"2016-07"
"DEU",2016,"August",36,189.725555555556,4.77777777777778,41.6666666666667,8,"2016-08"
"ESP",2016,"August",286,223.350629370629,4.23426573426573,36.3636363636364,8,"2016-08"
"FRA",2016,"August",69,204.68884057971,5.30434782608696,17.3913043478261,8,"2016-08"
"GBR",2016,"August",193,159.833005181347,7.33678756476684,24.8704663212435,8,"2016-08"
"IRL",2016,"August",63,167.21873015873,6.77777777777778,17.4603174603175,8,"2016-08"
"PRT",2016,"August",739,190.387077131258,5.21786197564276,42.7604871447903,8,"2016-08"
"DEU",2016,"September",38,109.816578947368,5.81578947368421,26.3157894736842,9,"2016-09"
"ESP",2016,"September",97,146.906701030928,3.28865979381443,35.0515463917526,9,"2016-09"
"FRA",2016,"September",33,130.601515151515,4.3030303030303,18.1818181818182,9,"2016-09"
"GBR",2016,"September",366,87.311393442623,6.45628415300546,7.65027322404372,9,"2016-09"
"IRL",2016,"September",138,93.8465217391304,6,14.4927536231884,9,"2016-09"
"PRT",2016,"September",523,111.609388145315,4.36902485659656,59.6558317399618,9,"2016-09"
"DEU",2016,"October",61,73.0570491803279,4.40983606557377,19.672131147541,10,"2016-10"
"ESP",2016,"October",112,79.4197321428571,2.64285714285714,28.5714285714286,10,"2016-10"
"FRA",2016,"October",55,71.8798181818182,4.09090909090909,21.8181818181818,10,"2016-10"
"GBR",2016,"October",591,64.8439763113367,4.76988155668359,9.13705583756345,10,"2016-10"
"IRL",2016,"October",153,68.5027450980392,5.88888888888889,35.9477124183007,10,"2016-10"
"PRT",2016,"October",572,63.0584265734266,3.00524475524476,50,10,"2016-10"
"DEU",2016,"November",56,53.0925,7.125,12.5,11,"2016-11"
"ESP",2016,"November",91,58.8375824175824,2.91208791208791,23.0769230769231,11,"2016-11"
"FRA",2016,"November",135,53.8145925925926,4.59259259259259,5.92592592592593,11,"2016-11"
"GBR",2016,"November",204,50.7073529411765,4.76470588235294,21.5686274509804,11,"2016-11"
"IRL",2016,"November",58,45.108275862069,4.68965517241379,13.7931034482759,11,"2016-11"
"PRT",2016,"November",496,49.0121975806452,2.30645161290323,30.241935483871,11,"2016-11"
"DEU",2016,"December",20,59.653,3.25,40,12,"2016-12"
"ESP",2016,"December",186,71.8422580645161,3.05376344086022,18.2795698924731,12,"2016-12"
"FRA",2016,"December",118,67.8499152542373,5.73728813559322,17.7966101694915,12,"2016-12"
"GBR",2016,"December",170,62.8568823529412,5.28823529411765,21.7647058823529,12,"2016-12"
"IRL",2016,"December",42,49.8652380952381,3.83333333333333,21.4285714285714,12,"2016-12"
"PRT",2016,"December",606,86.7471452145215,2.48349834983498,29.042904290429,12,"2016-12"
